"idx","page_id","value"
0,"13","München 2, Neuhauser Str. 16"
1,"16","München 2, Neuhauser Str. 16"
2,"25","Kaufingerstraße 6, München"
3,"27","Kaufingerstr. 6"
4,"30","Kaufingerstr. 6"
5,"33","Kaufingerstr. 6"
6,"36","Kaufingerstr. 6"
7,"39","Kaufingerstraße 6"
8,"140","Mathildenstrasse 4-5"
9,"141","Mathildenstr. 4-5"
10,"142","Stachus-Zentrum"
11,"364","Fraunhoferstrasse 33"
12,"","Haus der Kunst München"
13,"873","MÜNCHEN 27 • SCHUMANNSTRASSE I"
14,"882","München 27, Schumannstraße 1"
15,"882","München 2, Max-Joseph-Platz (Theater-Betriebe)"
