"idx","page_id","value"
0,"2","Suppen"
1,"2","Kalte Wurst"
2,"14","Vorspeisen"
3,"14","WARM"
4,"14","KALT"
5,"14","Suppen"
6,"14","Fische"
7,"14","Zwischengerichte"
8,"14","Eierspeisen"
9,"14","Fleischspeisen"
10,"14","Hausgemachte Wurstwaren"
11,"14","Pfannengerichte und vom Rost"
12,"14","Wild und Geflügel"
13,"14","Käse"
14,"14","Beilagen"
15,"14","Salate"
16,"14","Gemüse"
17,"14","Obst und Kompotte"
18,"21","Weine"
19,"21","Liköre"
20,"24","Biere:"
21,"24","Kalte und warme Getränke"
22,"24","Unsere Hausmarke"
23,"24","Schnäpse: (großes Glas) 0,4 cl."
24,"24","Liköre: (großes Glas) 0,4 cl."
25,"24","Dessertweine"
26,"40","Fleischmarkenpflichtige Speisen"
27,"40","Anderweitige Speisen"
28,"40","Fleisch"
29,"40","Füllfleisch"
30,"40","Rauch- u. Dauerfleisch aller Art"
31,"40","Wild und Geflügel"
32,"40","Belegte Brote"
33,"40","Kalte Fleischspeisen"
34,"40","Suppen"
35,"134","Suppen"
36,"134","Tagesgerichte"
37,"134","Fleischspeisen"
38,"134","Wiesenschmankerl"
39,"134","Pfannengerichte"
40,"134","Kalte Speisen"
41,"134","Wurstwaren"
42,"141","Nachtisch"
43,"141","Vegetarisch"
44,"141","Verschiedenes"
45,"141","Suppen"
46,"141","Studenten-Karte"
47,"334","Würstl"
48,"334","Suppen"
49,"334","Warme Speisen"
50,"334","Kalte Speisen"
51,"365","Mehl- und Eierspeisen"
52,"365","Verschiedene Speisen"
53,"365","Fertige Speisen"
54,"365","Suppen"
55,"365","Fische"
56,"365","Ochsenfleisch"
57,"365","Würste"
58,"365","Kompotte"
59,"365","Salat und Gemüse"
60,"365","Schnitzel und Kotelettes"
61,"365","Kalte Speisen"
62,"365","Käse"
63,"447","Entrées"
64,"447","Sweets"
65,"447","Tandoori Specialités"
66,"447","Main Dishes"
67,"447","Snacks"
68,"447","Syrups (mango - rose - sandal)"
69,"679","Cocktails"
70,"679","Sours"
71,"679","Fizzers"
72,"679","Flips"
73,"679","Cobblers"
74,"679","Pick Ups"
75,"679","Longdrinks"
76,"680","Inländische Spirituosen und Liköre"
77,"680","Ausländische Spirituosen und Liköre"
78,"680","Liköre"
79,"680","Aperitifs"
80,"680","Spirituosen und Liköre"
81,"680","Für den Kenner"
82,"686","Les Hors-d'oeuvres"
83,"686","Vorspeisen"
84,"686","Les Huîtres - Austern"
85,"686","Les Hors-d'oeuvres chauds"
86,"686","Warme Vorspeisen"
87,"686","Les Poissons - Fische"
88,"687","Les Potages et Consommes - Suppen"
89,"687","Les Oeufs - Eiergerichte"
90,"687","Volailles et Gibiers - Geflügel und Wild"
91,"687","LES ENTRÉES"
92,"687","LES GRILLADES ET RÔTIS"
93,"688","Nos METS RECOMMANDES - Für Gourmets"
94,"688","DESSERTS ET ENTREMETS - Nachtisch"
95,"875","Desserts und Eisspezialitäten"
96,"875","Besonders zu empfehlen"
97,"875","SONDERWÜNSCHE UND ARRANGEMENTS"
98,"877","Warme Getränke"
99,"877","Aus unserer Konditorei"
100,"879","Natursäfte"
101,"879","Kalte Getränke"
102,"879","Münchner Spezial-Biere zur Wahl"
103,"881","Schoppenweine"
104,"881","Flaschenweine rot"
105,"881","Flaschenweine weiß"
106,"1006","VORSPEISEN"
107,"1006","Suppen"
108,"1006","Aus der Wirtsmetzgerei"
109,"1007","KLEINE GERICHTE"
110,"1007","MEHLSPEISEN"
111,"1007","NACHSPEISEN"
