"idx","description"
0,"hausgemachte Käsespätzl mit gemischtem Salat"
1,"Hausgemachte Briesmilzswurst in der Brotsupp"
2,"Kalbsrahngoulasch mit Spätzl"
3,"Frische lieherl in Rahm mit Sennuelknödel"
4,"In Bier gebratenes Spanferkel mit Kartoffelknödel"
5,"Portion Gansbraten mit Kartoffelknödel und Selleriesalat"
6,"Hausgemachter gemischter Preßsack"
7,"Nudelsuppe"
8,"Hausgemachter gemischter Preßsack oder sauer, mit Zwiebel, Essig und Öl"
9,"Pfannkuchensuppe"
10,"hausgemachter Leberkäs"
11,"Leberknödelsuppe"
12,"Bunter Wurstsalat mit Emmentaler, Gurken-, Tomaten-, Paprikascheiben und gekochtem Ei"
13,"Nudelsuppe mit Ochsenfleisch"
14,"2 Paar Schweinswürstl auf dem Rost gebraten mit Sauerkraut"
15,"2 Pfälzer vom Rost mit Sauerkraut"
16,"1 Bratwurst „Fränkische Art“ vom Rost mit Sauerkraut"
17,"2 Stockwürste auf dem Rost gebraten mit Kartoffelsalat"
18,"„Spöckmeier Metzgerplatte“ (1 Pfälzer, 1 PaarSchweinswürstl, 1 Stockwurst,Sauerkraut, Leberknödel)"
19,"hausgemachte Briesmilzwurst auf dem Rost gebraten, Salatteller"
20,"Tellerfleisch mit frisch geriebenem Meerrettich, Kartoffelsalat"
21,"Schweinsbraten mit Kartoffelknödel"
22,"Bayrischer Sauerbraten mit hausgemachte Spätzl "
23,"Geräuchertes Ripperl mit Sauerkraut und Semmelknödel"
24,"Ganze Surhaxe (Eisbein) mit Sauerkraut und Semmelknödel"
25,"Hirschgulasch mit hausgemachte Spätzl"
26,"Wildschweinschlegel mit Reherl (Pfifferlinge), hausgemachte Spätzl, Butterbohnen"
27,"Hirschbraten in Rahmsoße mit hausgemachte Spätzl, Preiselbeeren, Butterbohnen"
28,"Portion Sauerkraut"
29,"Salatteller"
30,"alle übrigen Beilagen"
31,"Portion pommes frites"
32,"Pfannenkuchensuppe"
33,"Gulaschsuppe"
34,"Sauerbraten mit Semmelknödel"
35,"Rindsgulasch mit Spaghetti"
36,"Geräuchertes Wammerl mit Kraut und Semmelknödel"
37,"Schweinsbraten mit Semmelknödel und Salat "
38,"Tellerfleisch mit geriebenem Meerrettich, Salzkartoffel"
39,"Geräuchertes Ripperl mit Kraut und Semmelknödel"
40,"Kalbsbraten mit gemischtem Salat"
41,"Portion Schweinshaxe vom Holzkohlenofen mit Salat"
42,"Portion Kalbshaxe vom Holzkohlenofen mit Salat"
43,"Wildschweinbraten ""Försterin Art"" mit hausgemachte Spätzl, gemischter Salat"
44,"Hirschbraten in Rahmsoße mit hausgemachte Spätzl, Preiselbeeren, gemischter Salat"
45,"Hirschsteak mit pommes frites und grüne Bohnen"
46,"Portion Wildsau am Holzkohlenofen gebraten mit Salatplatte"
47,"2 Weißwürste mit Senf"
48,"2 Paar Wiener mit Kraut"
49,"2 Paar Schweinswürstl mit Kraut"
50,"2 Pfälzer vom Rost"
51,"Leberkäs"
