"Id","Datum","Kartentyp","Seite","Lokaltyp","Lokalname","Breite_neu","Höhe_neu","Breite_orig","Höhe_orig","MD5","Dateiname_original"
1,"20.09.1975","Speisenkarte",1,"Festzelt","Armbrustschützenzelt",731,1024,3493,4896,"f16b496a1b10424b0ff7e651b2e3d209","Armbrustschützenzelt_Speisenkarte_20.09.1975_01.jpg"
2,"1975","Speisenkarte",1,"Festzelt","Armbrustschützenzelt",705,1024,3846,5584,"7ea0b3898d18959f3ad89a6cf3834c18","Armbrustschützenzelt_Speisenkarte_1975_01.jpg"
3,"1972","Speisenkarte",1,"Festzelt","Armbrustschützenzelt",653,1024,3665,5746,"bc1c8948ed5850cbf9c0c2e187e21787","Armbrustschützenzelt_Speisenkarte_ca. 1972_01.jpg"
4,"09.07.1917","Kriegs-Speisenkarte",1,"Gaststätte","Augustiner Gaststätte",760,1024,3095,4172,"d650b51d851d53f6c3999ac8b73c0f2a","Augustiner, Gaststätte_F Mon 3457_Kriegs-Speisenkarte_09.07.1917_01.jpg"
5,"09.07.1917","Kriegs-Speisenkarte",2,"Gaststätte","Augustiner Gaststätte",1475,1024,6010,4172,"1c2474c4e9bc39eb7a89ba3161024cc0","Augustiner, Gaststätte_F Mon 3457_Kriegs-Speisenkarte_09.07.1917_02.jpg"
6,"09.07.1917","Kriegs-Speisenkarte",3,"Gaststätte","Augustiner Gaststätte",757,1024,3086,4172,"6fb03018e5be179a4a9a6c2bfb244e66","Augustiner, Gaststätte_F Mon 3457_Kriegs-Speisenkarte_09.07.1917_03.jpg"
7,"28.01.1918","Kriegs-Speisenkarte",1,"Gaststätte","Augustiner Gaststätte",760,1024,3122,4208,"7f8a51bdf47ca51d4c923f45e704330c","Augustiner, Gaststätte_F Mon 3490_Kriegs-Speisenkarte_28.01.1918_01.jpg"
8,"28.01.1918","Kriegs-Speisenkarte",2,"Gaststätte","Augustiner Gaststätte",1469,1024,6036,4208,"e9a5e306b5f178ba902cfe68e882a406","Augustiner, Gaststätte_F Mon 3490_Kriegs-Speisenkarte_28.01.1918_02.jpg"
9,"28.01.1918","Kriegs-Speisenkarte",3,"Gaststätte","Augustiner Gaststätte",758,1024,3113,4208,"86872984f2de2d02aeff38106a1d8777","Augustiner, Gaststätte_F Mon 3490_Kriegs-Speisenkarte_28.01.1918_03.jpg"
10,"18.04.1918","Kriegs-Speisenkarte",1,"Gaststätte","Augustiner Gaststätte",771,1024,3113,4136,"1e601c185f901aa02fb0f82310f462c2","Augustiner, Gaststätte_F Mon 3492_Kriegs-Speisenkarte_18.04.1918_01.jpg"
11,"18.04.1918","Kriegs-Speisenkarte",2,"Gaststätte","Augustiner Gaststätte",1490,1024,6018,4136,"dc968ab61a531b7a6eb66cb292bc3ee3","Augustiner, Gaststätte_F Mon 3492_Kriegs-Speisenkarte_18.04.1918_02.jpg"
12,"18.04.1918","Kriegs-Speisenkarte",3,"Gaststätte","Augustiner Gaststätte",766,1024,3095,4136,"9274d561d10f95bdd6147216b4ba9032","Augustiner, Gaststätte_F Mon 3492_Kriegs-Speisenkarte_18.04.1918_03.jpg"
