"idx","Name","Straße","Hausnummer","PLZ","Stadtteil","Stadt","Bundesland","Land","URL","Eröffnung","Schließung","Breitengrad","Längengrad","Qualität","Präzision"
0,"Armbrustschützenzelt","Bavariaring",,"80336","Bezirksteil St. Paul","München","Bayern","Germany","https://www.armbrustschuetzenzelt.de/","1895",,"48.1336862","11.5536309","tertiary","0.32"
1,"Augustiner, Gaststätten","Neuhauserstr.","16","80331","Bezirksteil Kreuzviertel","München","Bayern","Germany",,"vor 1898",,"48.1389325","11.5679484","mobile_phone","0.221"
2,"Augustiner, Restaurant","Neuhauserstr.","27","80331","Bezirksteil Kreuzviertel","München","Bayern","Germany","https://www.augustiner-restaurant.com/",,,"48.1384215","11.568918","pub","0.221"
3,"Augustiner-Festhalle","Bavariaring",,"80336","Bezirksteil St. Paul","München","Bayern","Germany","https://www.festhalle-augustiner.com/","1895",,"48.1336862","11.5536309","tertiary","0.32"
4,"Bavaria, Gaststätte","Bayerstr. ","81","80335","Bezirksteil St. Paul","München","Bayern","Germany","http://www.bavaria-gaststaette.de",,,"48.1389532","11.5527566","restaurant","0.321"
5,"Bavaria, Hotel und Restaurant","Bayerstr. ","81","80335","Bezirksteil St. Paul","München","Bayern","Germany","http://www.bavaria-gaststaette.de",,,"48.1389532","11.5527566","restaurant","0.321"
6,"Bayerische Krone [Heute: Steinheil 16]","Steinheilstr.","16","80333","Stadtbezirk 03 Maxvorstadt","München","Bayern","Germany","https://www.steinheil16.de/",,,"48.1498533","11.5642279","pub","0.321"
7,"Bayerische Krone, Hotel und Gaststätte","Schützenstr.","10","80335","Bezirksteil Ludwigsvorstadt-Kliniken","München","Bayern","Germany",,,,"48.1399348","11.5626115","fast_food","0.321"
8,"Bayerischer Hof, Hotel","Promenadepl.","2-6","80333",,"München","Bayern","Germany","https://www.bayerischerhof.de/","vor 1820",,"48.152126","11.544467",,"0.15"
9,"Bierstüberl am Deutschen Theater","Schwanthalerstr.","13","80336","Bezirksteil Ludwigsvorstadt-Kliniken","München","Bayern","Germany",,,,"48.13681815","11.5620036746","theatre","0.421"
10,"Bräu-Rosl Festzelt","Bavariaring",,"80336","Bezirksteil St. Paul","München","Bayern","Germany","http://heidevolm.de/braeurosl/","1902",,"48.1336862","11.5536309","tertiary","0.32"
11,"Bürgerbräu, Gaststätte","Kaufingerstr.","6","80331","Bezirksteil Kreuzviertel","München","Bayern","Germany",,"1885","1979","48.1374724","11.5743244","clothes","0.321"
12,"Bürgerbräu, Restaurant","Kaufingerstr.","6","80331","Bezirksteil Kreuzviertel","München","Bayern","Germany",,"1885","1979","48.1374724","11.5743244","clothes","0.321"
13,"Bürger-Bräu","Kaufingerstr.","6","80331","Bezirksteil Kreuzviertel","München","Bayern","Germany",,"1885","1979","48.1374724","11.5743244","clothes","0.321"
14,"Chez Pierre","Rotkreuzpl.","2a","80634",,"München","Bayern","Germany",,,,"48.152126","11.544467",,"0.15"
15,"Christliches Hospiz München","Mathildenstr.","4-5","80336","Bezirksteil Ludwigsvorstadt-Kliniken","München","Bayern","Germany",,,,"48.1352654","11.5633557","residential","0.31"
16,"Coop im Stachus-Zentrum, München, Karlsplatz","Karlsplatz","1","80335","Bezirksteil Kreuzviertel","München","Bayern","Germany",,,,"48.1394774","11.565759","sports","0.431"
17,"Deutsches Eck, Gaststätte","Schwanthalerstr.","58","80336","Bezirksteil St. Paul","München","Bayern","Germany",,,"ja","48.1375838","11.5556559","house","0.321"
18,"Deutsches Haus","Lenbachpl.",,"80333",,,"Bayern",,,"vor 1885",,,,,
19,"Deutschen Haus, Gaststätte zum","Lenbachpl.",,"80333",,"München","Bayern","Germany",,"vor 1885","vermutl.","48.152126","11.544467",,"0.15"
20,"Deutschen Haus, Gastwirtschaft zum","Lenbachpl.",,"80333",,"München","Bayern","Germany",,"vor 1885","vermutl.","48.152126","11.544467",,"0.15"
21,"Deutsches Haus, Restaurant","Lenbachpl.",,"80333",,"München","Bayern","Germany",,"vor 1885","vermutl.","48.152126","11.544467",,"0.15"
22,"Deutsches Theater","Landwehrstr.","20","80336","Bezirksteil Ludwigsvorstadt-Kliniken","München","Bayern","Germany",,,,"48.13662655","11.5622560151","yes","0.321"
23,"Deutsches Theater, Bar","Schwanthalerstr.","13","80336","Bezirksteil Ludwigsvorstadt-Kliniken","München","Bayern","Germany","https://www.deutsches-theater.de/gastro/",,,"48.13681815","11.5620036746","theatre","0.421"
24,"Donisl am Marienplatz","Weinstr.","1","80333","Bezirksteil Kreuzviertel","München","Bayern","Germany","https://www.donisl.com/","vor 1907",,"48.1377737","11.5749101","restaurant","0.321"
25,"Drei Könige, Hotel","Schwanthalerstr.","38","80336","Bezirksteil Ludwigsvorstadt-Kliniken","München","Bayern","Germany",,,"vermutl.","48.1375248","11.5588529","house","0.321"
26,"Drei Löwen, Hotel","Schillerstr.","8/44?","80336","Bezirksteil Ludwigsvorstadt-Kliniken","München","Bayern","Germany","http://www.hotel3loewen.de/de/restaurant-bar/","vor 1950",,"48.1374144","11.5610259","residential","0.41"
27,"Drei Raben, Hotel","Schillerstr.","6","80336","Bezirksteil Ludwigsvorstadt-Kliniken","München","Bayern","Germany",,"vor 1900","ja","48.1387045","11.5610209","house","0.321"
28,"Eckel, Weinrestaurant","Marienplatz","13","80331","Bezirksteil Angerviertel","München","Bayern","Germany",,"1921","1930","48.13703175","11.5759245906","pedestrian","0.5957953151"
